Null display is "<null>".
     rental_date     |         title         
---------------------+-----------------------
 2005-08-23 18:43:31 | OCTOBER SUBMARINE
         414 |        24 |   108
         415 |        22 |    83
         416 |        31 |   120
         417 |        24 |    99
         418 |        30 |   121
         419 |        25 |   101
         420 |        20 |    83
         421 |        26 |    88
         422 |        25 |    98
         423 |        26 |    99
         424 |        30 |   117
         425 |        26 |   104
         426 |        27 |   116
         427 |        24 |   103
         428 |        20 |    83
         429 |        21 |    86
         430 |        22 |    93
         431 |        23 |    98
         432 |        23 |    96
         433 |        25 |   100
         434 |        27 |   108
         435 |        24 |    98
         436 |        30 |   108
         437 |        22 |    85
         438 |        32 |   112
         439 |        35 |   134
         440 |        21 |    87
         441 |        28 |    95
         442 |        32 |   111
         443 |        22 |    84
         444 |        30 |   110
         445 |        26 |   103
         446 |        30 |   117
         447 |        28 |   103
         448 |        29 |   112
         449 |        20 |    99
         450 |        26 |   110
         451 |        32 |   122
         452 |        31 |   109
         453 |        23 |   107
         454 |        33 |   124
         455 |        24 |   101
         456 |        25 |    93
         457 |        28 |   111
         458 |        18 |    72
         459 |        37 |   133
         460 |        23 |    90
         461 |        28 |   122
         462 |        33 |   127
         463 |        24 |    92
         464 |        15 |    64
         465 |        17 |    61
         466 |        23 |    98
         467 |        28 |   118
         468 |        38 |   127
         469 |        38 |   115
         470 |        32 |   114
         471 |        27 |   115
         472 |        30 |   110
         473 |        34 |   117
         474 |        26 |   109
         475 |        24 |    77
         476 |        20 |    73
         477 |        22 |    93
         478 |        19 |    66
         479 |        31 |   121
         480 |        22 |    90
         481 |        29 |   112
         482 |        26 |   112
         483 |        18 |    65
         484 |        29 |   114
         485 |        29 |    95
         486 |        26 |   113
         487 |        26 |   108
         488 |        22 |    86
         489 |        21 |    86
         490 |        24 |    99
         491 |        26 |   111
         492 |        16 |    77
         493 |        23 |    95
         494 |        30 |   118
         495 |        25 |   102
         496 |        21 |    83
         497 |        28 |   125
         498 |        27 |   106
         499 |        29 |   116
         500 |        28 |   110
         501 |        21 |    93
         502 |        33 |   130
         503 |        31 |   111
         504 |        28 |   110
         505 |        21 |    86
         506 |        35 |   136
         507 |        25 |   109
         508 |        25 |    99
         509 |        20 |    82
         510 |        25 |    97
         511 |        23 |    99
         512 |        25 |    92
         513 |        29 |   110
         514 |        22 |    96
         515 |        28 |   107
         516 |        25 |    95
         517 |        25 |    93
         518 |        26 |   102
         519 |        23 |    81
         520 |        32 |   113
         521 |        23 |   104
         522 |        33 |   121
         523 |        22 |    94
         524 |        19 |    75
         525 |        18 |    75
         526 |        44 |   137
         527 |        24 |   101
         528 |        24 |   102
         529 |        29 |   119
         530 |        23 |    92
         531 |        25 |   101
         532 |        31 |   124
         533 |        33 |   115
         534 |        24 |   103
         535 |        32 |   120
         536 |        25 |   106
         537 |        25 |    94
         538 |        29 |   112
         539 |        22 |    72
         540 |        24 |   104
         541 |        23 |    93
         542 |        18 |    76
         543 |        21 |    83
         544 |        21 |    86
         545 |        21 |    88
         546 |        25 |   105
         547 |        23 |    89
         548 |        19 |    87
         549 |        20 |    84
         550 |        32 |   120
         551 |        26 |   101
         552 |        20 |    92
         553 |        24 |    96
         554 |        22 |    89
         555 |        17 |    71
         556 |        21 |    84
         557 |        23 |    90
         558 |        27 |   105
         559 |        28 |   102
         560 |        29 |   107
         561 |        27 |   109
         562 |        24 |    88
         563 |        27 |   107
         564 |        24 |   106
         565 |        29 |   110
         566 |        33 |   120
         567 |        20 |    93
         568 |        21 |    90
         569 |        30 |   108
         570 |        26 |    99
         571 |        23 |    90
         572 |        25 |    92
         573 |        28 |   108
         574 |        28 |   106
         575 |        29 |   104
         576 |        34 |   115
         577 |        27 |   106
         578 |        22 |    88
         579 |        26 |    95
         580 |        27 |   111
         581 |        27 |   117
         582 |        24 |    96
         583 |        22 |    88
         584 |        30 |   103
         585 |        23 |    88
         586 |        19 |    76
         587 |        26 |   102
         588 |        27 |   117
         589 |        28 |   103
         590 |        25 |   102
         591 |        25 |    90
         592 |        29 |   100
         593 |        26 |    99
         594 |        25 |   101
         595 |        30 |    97
         596 |        28 |   112
         597 |        25 |   103
         598 |        21 |    80
         599 |        19 |    81
(599 rows)

            title            |       language       
-----------------------------+----------------------
 ACADEMY DINOSAUR            | English             
 ACE GOLDFINGER              | English             
 ADAPTATION HOLES            | English             
 AFFAIR PREJUDICE            | English             
 AFRICAN EGG                 | English             
 AGENT TRUMAN                | English             
 AIRPLANE SIERRA             | English             
 AIRPORT POLLOCK             | English             
 ALABAMA DEVIL               | English             
 ALADDIN CALENDAR            | English             
 ALAMO VIDEOTAPE             | English             
 ALASKA PHANTOM              | English             
 ALICE FANTASIA              | English             
 ALIEN CENTER                | English             
 ALI FOREVER                 | English             
 ALLEY EVOLUTION             | English             
 ALONE TRIP                  | English             
 ALTER VICTORY               | English             
 AMADEUS HOLY                | English             
 AMELIE HELLFIGHTERS         | English             
 AMERICAN CIRCUS             | English             
 AMISTAD MIDSUMMER           | English             
 ANACONDA CONFESSIONS        | English             
 ANALYZE HOOSIERS            | English             
 ANGELS LIFE                 | English             
 ANNIE IDENTITY              | English             
 ANONYMOUS HUMAN             | English             
 ANTHEM LUKE                 | English             
 ANTITRUST TOMATOES          | English             
 ANYTHING SAVANNAH           | English             
 APACHE DIVINE               | English             
 APOCALYPSE FLAMINGOS        | English             
 APOLLO TEEN                 | English             
 ARABIA DOGMA                | English             
 ARACHNOPHOBIA ROLLERCOASTER | English             
 ARGONAUTS TOWN              | English             
 ARIZONA BANG                | English             
 ARK RIDGEMONT               | English             
 ARMAGEDDON LOST             | English             
 ARMY FLINTSTONES            | English             
 ARSENIC INDEPENDENCE        | English             
 ARTIST COLDBLOODED          | English             
 ATLANTIS CAUSE              | English             
 ATTACKS HATE                | English             
 ATTRACTION NEWTON           | English             
 AUTUMN CROW                 | English             
 BABY HALL                   | English             
 BACKLASH UNDEFEATED         | English             
 BADMAN DAWN                 | English             
 BAKED CLEOPATRA             | English             
 BALLOON HOMEWARD            | English             
 BALLROOM MOCKINGBIRD        | English             
 BANGER PINOCCHIO            | English             
 BANG KWAI                   | English             
 BARBARELLA STREETCAR        | English             
 BAREFOOT MANCHURIAN         | English             
 BASIC EASY                  | English             
 BEACH HEARTBREAKERS         | English             
 BEAR GRACELAND              | English             
 BEAST HUNCHBACK             | English             
 BEAUTY GREASE               | English             
 BEDAZZLED MARRIED           | English             
 BED HIGHBALL                | English             
 BEETHOVEN EXORCIST          | English             
 BEHAVIOR RUNAWAY            | English             
 BENEATH RUSH                | English             
 BERETS AGENT                | English             
 BETRAYED REAR               | English             
 BEVERLY OUTLAW              | English             
 BIKINI BORROWERS            | English             
 BILKO ANONYMOUS             | English             
 BILL OTHERS                 | English             
 BINGO TALENTED              | English             
 BIRCH ANTITRUST             | English             
 BIRDCAGE CASPER             | English             
 BIRD INDEPENDENCE           | English             
 BIRDS PERDITION             | English             
 BLACKOUT PRIVATE            | English             
 BLADE POLISH                | English             
 BLANKET BEVERLY             | English             
 BLINDNESS GUN               | English             
 BLOOD ARGONAUTS             | English             
 BLUES INSTINCT              | English             
 BOILED DARES                | English             
 BONNIE HOLOCAUST            | English             
 BOOGIE AMELIE               | English             
 BOONDOCK BALLROOM           | English             
 BORN SPINAL                 | English             
 BORROWERS BEDAZZLED         | English             
 BOULEVARD MOB               | English             
 BOUND CHEAPER               | English             
 BOWFINGER GABLES            | English             
 BRANNIGAN SUNRISE           | English             
 BRAVEHEART HUMAN            | English             
 BREAKFAST GOLDFINGER        | English             
 BREAKING HOME               | English             
 BRIDE INTRIGUE              | English             
 BRIGHT ENCOUNTERS           | English             
 BRINGING HYSTERICAL         | English             
 BROOKLYN DESERT             | English             
 BROTHERHOOD BLANKET         | English             
 BUBBLE GROSSE               | English             
 BUCKET BROTHERHOOD          | English             
 BUGSY SONG                  | English             
 BULL SHAWSHANK              | English             
 BULWORTH COMMANDMENTS       | English             
 BUNCH MINDS                 | English             
 BUTCH PANTHER               | English             
 BUTTERFLY CHOCOLAT          | English             
 CABIN FLASH                 | English             
 CADDYSHACK JEDI             | English             
 CALENDAR GUNFIGHT           | English             
 CALIFORNIA BIRDS            | English             
 CAMELOT VACATION            | English             
 CAMPUS REMEMBER             | English             
 CANDIDATE PERDITION         | English             
 CANDLES GRAPES              | English             
 CANYON STOCK                | English             
 CAPER MOTIONS               | English             
 CARIBBEAN LIBERTY           | English             
 CAROL TEXAS                 | English             
 CARRIE BUNCH                | English             
 CASABLANCA SUPER            | English             
 CASPER DRAGONFLY            | English             
 CASSIDY WYOMING             | English             
 CASUALTIES ENCINO           | English             
 CATCH AMISTAD               | English             
 CAT CONEHEADS               | English             
 CAUSE DATE                  | English             
 CELEBRITY HORN              | English             
 CENTER DINOSAUR             | English             
 CHAINSAW UPTOWN             | English             
 CHAMBER ITALIAN             | English             
 CHAMPION FLATLINERS         | English             
 CHANCE RESURRECTION         | English             
 CHAPLIN LICENSE             | English             
 CHARADE DUFFEL              | English             
 CHARIOTS CONSPIRACY         | English             
 CHASING FIGHT               | English             
 CHEAPER CLYDE               | English             
 CHICAGO NORTH               | English             
 CHICKEN HELLFIGHTERS        | English             
 CHILL LUCK                  | English             
 CHINATOWN GLADIATOR         | English             
 CHISUM BEHAVIOR             | English             
 CHITTY LOCK                 | English             
 CHOCOLATE DUCK              | English             
 CHOCOLAT HARRY              | English             
 CHRISTMAS MOONSHINE         | English             
 CIDER DESIRE                | English             
 CINCINATTI WHISPERER        | English             
 CIRCUS YOUTH                | English             
 CITIZEN SHREK               | English             
 CLASH FREDDY                | English             
 CLEOPATRA DEVIL             | English             
 CLERKS ANGELS               | English             
 CLOCKWORK PARADISE          | English             
 CLONES PINOCCHIO            | English             
 CLOSER BANG                 | English             
 CLUB GRAFFITI               | English             
 CLUE GRAIL                  | English             
 CLUELESS BUCKET             | English             
 CLYDE THEORY                | English             
 COAST RAINBOW               | English             
 COLDBLOODED DARLING         | English             
 COLOR PHILADELPHIA          | English             
 COMA HEAD                   | English             
 COMANCHEROS ENEMY           | English             
 COMFORTS RUSH               | English             
 COMMAND DARLING             | English             
 COMMANDMENTS EXPRESS        | English             
 CONEHEADS SMOOCHY           | English             
 CONFESSIONS MAGUIRE         | English             
 CONFIDENTIAL INTERVIEW      | English             
 CONFUSED CANDLES            | English             
 CONGENIALITY QUEST          | English             
 CONNECTICUT TRAMP           | English             
 CONNECTION MICROCOSMOS      | English             
 CONQUERER NUTS              | English             
 CONSPIRACY SPIRIT           | English             
 CONTACT ANONYMOUS           | English             
 CONTROL ANTHEM              | English             
 CONVERSATION DOWNHILL       | English             
 CORE SUIT                   | English             
 COWBOY DOOM                 | English             
 CRAFT OUTFIELD              | English             
 CRANES RESERVOIR            | English             
 CRAZY HOME                  | English             
 CREATURES SHAKESPEARE       | English             
 CREEPERS KANE               | English             
 CROOKED FROGMEN             | English             
 CROSSING DIVORCE            | English             
 CROSSROADS CASUALTIES       | English             
 CROWDS TELEMARK             | English             
 CROW GREASE                 | English             
 CRUELTY UNFORGIVEN          | English             
 CRUSADE HONEY               | English             
 CRYSTAL BREAKING            | English             
 CUPBOARD SINNERS            | English             
 CURTAIN VIDEOTAPE           | English             
 CYCLONE FAMILY              | English             
 DADDY PITTSBURGH            | English             
 DAISY MENAGERIE             | English             
 DALMATIONS SWEDEN           | English             
 DANCES NONE                 | English             
 DANCING FEVER               | English             
 DANGEROUS UPTOWN            | English             
 DARES PLUTO                 | English             
 DARKNESS WAR                | English             
 DARKO DORADO                | English             
 DARLING BREAKING            | English             
 DARN FORRESTER              | English             
 DATE SPEED                  | English             
 DAUGHTER MADIGAN            | English             
 DAWN POND                   | English             
 DAY UNFAITHFUL              | English             
 DAZED PUNK                  | English             
 DECEIVER BETRAYED           | English             
 DEEP CRUSADE                | English             
 DEER VIRGINIAN              | English             
 DELIVERANCE MULHOLLAND      | English             
 DESERT POSEIDON             | English             
 DESIRE ALIEN                | English             
 DESPERATE TRAINSPOTTING     | English             
 DESTINATION JERK            | English             
 DESTINY SATURDAY            | English             
 DETAILS PACKER              | English             
 DETECTIVE VISION            | English             
 DEVIL DESIRE                | English             
 DIARY PANIC                 | English             
 DINOSAUR SECRETARY          | English             
 DIRTY ACE                   | English             
 DISCIPLE MOTHER             | English             
 DISTURBING SCARFACE         | English             
 DIVIDE MONSTER              | English             
 DIVINE RESURRECTION         | English             
 DIVORCE SHINING             | English             
 DOCTOR GRAIL                | English             
 DOGMA FAMILY                | English             
 DOLLS RAGE                  | English             
 DONNIE ALLEY                | English             
 DOOM DANCING                | English             
 DOORS PRESIDENT             | English             
 DORADO NOTTING              | English             
 DOUBLE WRATH                | English             
 DOUBTFIRE LABYRINTH         | English             
 DOWNHILL ENOUGH             | English             
 DOZEN LION                  | English             
 DRACULA CRYSTAL             | English             
 DRAGONFLY STRANGERS         | English             
 DRAGON SQUAD                | English             
 DREAM PICKUP                | English             
 DRIFTER COMMANDMENTS        | English             
 DRIVER ANNIE                | English             
 DRIVING POLISH              | English             
 DROP WATERFRONT             | English             
 DRUMLINE CYCLONE            | English             
 DRUMS DYNAMITE              | English             
 DUCK RACER                  | English             
 DUDE BLINDNESS              | English             
 DUFFEL APOCALYPSE           | English             
 DUMBO LUST                  | English             
 DURHAM PANKY                | English             
 DWARFS ALTER                | English             
 DYING MAKER                 | English             
 DYNAMITE TARZAN             | English             
 EAGLES PANKY                | English             
 EARLY HOME                  | English             
 EARRING INSTINCT            | English             
 EARTH VISION                | English             
 EASY GLADIATOR              | English             
 EDGE KISSING                | English             
 EFFECT GLADIATOR            | English             
 EGG IGBY                    | English             
 EGYPT TENENBAUMS            | English             
 ELEMENT FREDDY              | English             
 ELEPHANT TROJAN             | English             
 ELF MURDER                  | English             
 ELIZABETH SHANE             | English             
 EMPIRE MALKOVICH            | English             
 ENCINO ELF                  | English             
 ENCOUNTERS CURTAIN          | English             
 ENDING CROWDS               | English             
 ENEMY ODDS                  | English             
 ENGLISH BULWORTH            | English             
 ENOUGH RAGING               | English             
 ENTRAPMENT SATISFACTION     | English             
 ESCAPE METROPOLIS           | English             
 EVE RESURRECTION            | English             
 EVERYONE CRAFT              | English             
 EVOLUTION ALTER             | English             
 EXCITEMENT EVE              | English             
 EXORCIST STING              | English             
 EXPECATIONS NATURAL         | English             
 EXPENDABLE STALLION         | English             
 EXPRESS LONELY              | English             
 EXTRAORDINARY CONQUERER     | English             
 EYES DRIVING                | English             
 FACTORY DRAGON              | English             
 FALCON VOLUME               | English             
 FAMILY SWEET                | English             
 FANTASIA PARK               | English             
 FANTASY TROOPERS            | English             
 FARGO GANDHI                | English             
 FATAL HAUNTED               | English             
 FEATHERS METAL              | English             
 FELLOWSHIP AUTUMN           | English             
 FERRIS MOTHER               | English             
 FEUD FROGMEN                | English             
 FEVER EMPIRE                | English             
 FICTION CHRISTMAS           | English             
 FIDDLER LOST                | English             
 FIDELITY DEVIL              | English             
 FIGHT JAWBREAKER            | English             
 FINDING ANACONDA            | English             
 FIREBALL PHILADELPHIA       | English             
 FIREHOUSE VIETNAM           | English             
 FIRE WOLVES                 | English             
 FISH OPUS                   | English             
 FLAMINGOS CONNECTICUT       | English             
 FLASH WARS                  | English             
 FLATLINERS KILLER           | English             
 FLIGHT LIES                 | English             
 FLINTSTONES HAPPINESS       | English             
 FLOATS GARDEN               | English             
 FLYING HOOK                 | English             
 FOOL MOCKINGBIRD            | English             
 FOREVER CANDIDATE           | English             
 FORRESTER COMANCHEROS       | English             
 FORREST SONS                | English             
 FORWARD TEMPLE              | English             
 FRANKENSTEIN STRANGER       | English             
 FREAKY POCUS                | English             
 FREDDY STORM                | English             
 FREEDOM CLEOPATRA           | English             
 FRENCH HOLIDAY              | English             
 FRIDA SLIPPER               | English             
 FRISCO FORREST              | English             
 FROGMEN BREAKING            | English             
 FRONTIER CABIN              | English             
 FROST HEAD                  | English             
 FUGITIVE MAGUIRE            | English             
 FULL FLATLINERS             | English             
 FURY MURDER                 | English             
 GABLES METROPOLIS           | English             
 GALAXY SWEETHEARTS          | English             
 GAMES BOWFINGER             | English             
 GANDHI KWAI                 | English             
 GANGS PRIDE                 | English             
 GARDEN ISLAND               | English             
 GASLIGHT CRUSADE            | English             
 GATHERING CALENDAR          | English             
 GENTLEMEN STAGE             | English             
 GHOSTBUSTERS ELF            | English             
 GHOST GROUNDHOG             | English             
 GIANT TROOPERS              | English             
 GILBERT PELICAN             | English             
 GILMORE BOILED              | English             
 GLADIATOR WESTWARD          | English             
 GLASS DYING                 | English             
 GLEAMING JAWBREAKER         | English             
 GLORY TRACY                 | English             
 GODFATHER DIARY             | English             
 GOLDFINGER SENSIBILITY      | English             
 GOLDMINE TYCOON             | English             
 GOLD RIVER                  | English             
 GONE TROUBLE                | English             
 GOODFELLAS SALUTE           | English             
 GO PURPLE                   | English             
 GORGEOUS BINGO              | English             
 GOSFORD DONNIE              | English             
 GRACELAND DYNAMITE          | English             
 GRADUATE LORD               | English             
